,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit
0,2021-01-04,968.859985,977.619995,960.52002,977.619995,0,No action,0.0,0.0,0.0
1,2021-01-05,976.429993,985.76001,965.530029,985.76001,0,No action,0.0,0.0,0.0
2,2021-01-06,987.25,990.880005,977.369995,981.390015,1,Buy,0.0,0.0,0.0
3,2021-01-07,983.280029,993.909973,982.27002,988.859985,0,Holding,0.0,0.0,0.0
4,2021-01-08,990.700012,995.219971,978.119995,987.789978,0,sell,6.989990000000034,0.7122540369437155,6.989990000000034
5,2021-01-11,988.380005,993.200012,953.359985,976.630005,0,No action,0.0,0.0,6.989990000000034
6,2021-01-12,977.140015,982.460022,956.719971,973.719971,1,Buy,0.0,0.0,6.989990000000034
7,2021-01-13,974.140015,982.659973,972.099976,979.130005,1,Holding,0.0,0.0,6.989990000000034
8,2021-01-14,979.099976,980.289978,973.630005,980.289978,1,Holding,0.0,0.0,6.989990000000034
9,2021-01-15,981.719971,982.309998,963.090027,964.440002,1,Holding,0.0,0.0,6.989990000000034
10,2021-01-18,963.179993,967.049988,940.109985,944.669983,1,Holding,0.0,0.0,6.989990000000034
11,2021-01-19,945.330017,962.140015,936.929993,957.75,0,Holding,0.0,0.0,6.989990000000034
12,2021-01-20,959.52002,978.880005,959.52002,977.659973,0,sell,6.1000360000000455,0.6264671755407639,13.09002600000008
13,2021-01-21,979.820007,984.97998,975.619995,981.400024,0,No action,0.0,0.0,13.09002600000008
14,2021-01-22,982.200012,984.669983,975.049988,979.97998,0,No action,0.0,0.0,13.09002600000008
15,2021-01-25,981.049988,999.640015,981.049988,999.299988,0,No action,0.0,0.0,13.09002600000008
16,2021-01-26,1000.0,1007.52002,989.030029,994.0,0,No action,0.0,0.0,13.09002600000008
17,2021-01-27,996.419983,1000.75,984.369995,985.919983,1,Buy,0.0,0.0,13.09002600000008
18,2021-01-28,980.700012,980.700012,957.169983,961.22998,0,Holding,0.0,0.0,13.09002600000008
19,2021-01-29,963.580017,970.950012,918.679993,928.72998,0,sell,-58.0,-5.882830351355197,-44.90997399999992
20,2021-02-01,927.919983,957.26001,918.919983,956.919983,1,Buy,0.0,0.0,-44.90997399999992
21,2021-02-02,963.809998,963.809998,963.809998,963.809998,0,Holding,0.0,0.0,-44.90997399999992
22,2021-02-03,965.98999,970.849976,958.469971,970.690002,1,Holding,0.0,0.0,-44.90997399999992
23,2021-02-04,970.929993,970.950012,958.049988,964.580017,0,Holding,0.0,0.0,-44.90997399999992
24,2021-02-05,965.609985,970.599976,961.26001,967.419983,0,sell,10.020019000000048,1.0471114803754753,-34.88995499999987
25,2021-02-08,966.940002,968.030029,956.929993,960.780029,0,No action,0.0,0.0,-34.88995499999987
26,2021-02-09,961.309998,966.219971,957.690002,957.849976,1,Buy,0.0,0.0,-34.88995499999987
27,2021-02-10,958.450012,964.659973,951.210022,964.309998,0,Holding,0.0,0.0,-34.88995499999987
28,2021-02-15,965.830017,982.780029,965.830017,981.969971,1,Holding,0.0,0.0,-34.88995499999987
29,2021-02-16,982.809998,987.890015,974.299988,977.73999,1,Holding,0.0,0.0,-34.88995499999987
30,2021-02-17,977.929993,979.900024,970.549988,979.77002,0,Holding,0.0,0.0,-34.88995499999987
31,2021-02-18,980.01001,981.830017,967.419983,967.419983,1,Holding,0.0,0.0,-34.88995499999987
32,2021-02-19,967.650024,968.919983,944.73999,965.109985,1,Holding,0.0,0.0,-34.88995499999987
33,2021-02-22,965.549988,969.960022,953.47998,954.289978,0,Holding,0.0,0.0,-34.88995499999987
34,2021-02-23,952.22998,952.22998,934.349976,936.599976,1,Holding,0.0,0.0,-34.88995499999987
35,2021-02-24,936.799988,944.710022,906.309998,906.309998,0,Holding,0.0,0.0,-34.88995499999987
36,2021-02-25,910.150024,936.940002,910.150024,936.210022,1,Holding,0.0,0.0,-34.88995499999987
37,2021-02-26,930.539978,930.539978,904.179993,913.940002,1,Holding,0.0,0.0,-34.88995499999987
38,2021-03-02,919.169983,936.609985,914.48999,923.169983,1,Holding,0.0,0.0,-34.88995499999987
39,2021-03-03,922.52002,930.859985,920.070007,930.799988,0,Holding,0.0,0.0,-34.88995499999987
40,2021-03-04,929.090027,929.090027,916.75,926.200012,1,Holding,0.0,0.0,-34.88995499999987
41,2021-03-05,923.320007,924.419983,907.409973,923.47998,1,Holding,0.0,0.0,-34.88995499999987
42,2021-03-08,925.190002,931.140015,904.619995,904.77002,1,Holding,0.0,0.0,-34.88995499999987
43,2021-03-09,904.039978,904.039978,877.72998,896.359985,1,Holding,0.0,0.0,-34.88995499999987
44,2021-03-10,900.190002,911.039978,890.070007,890.070007,0,Holding,0.0,0.0,-34.88995499999987
45,2021-03-11,890.969971,908.01001,890.969971,908.01001,1,Holding,0.0,0.0,-34.88995499999987
46,2021-03-12,910.409973,925.900024,910.409973,925.48999,1,Holding,0.0,0.0,-34.88995499999987
47,2021-03-15,926.039978,929.690002,921.710022,926.900024,0,Holding,0.0,0.0,-34.88995499999987
48,2021-03-16,928.169983,941.0,928.169983,940.650024,1,Holding,0.0,0.0,-34.88995499999987
49,2021-03-17,941.200012,943.780029,935.109985,943.780029,1,Holding,0.0,0.0,-34.88995499999987
50,2021-03-18,945.109985,953.099976,945.109985,949.830017,1,Holding,0.0,0.0,-34.88995499999987
51,2021-03-19,946.609985,953.059998,935.27002,952.109985,1,Holding,0.0,0.0,-34.88995499999987
52,2021-03-22,953.039978,957.52002,948.77002,955.380005,1,Holding,0.0,0.0,-34.88995499999987
53,2021-03-23,956.099976,962.650024,945.969971,946.309998,1,Holding,0.0,0.0,-34.88995499999987
54,2021-03-24,946.22998,954.200012,939.190002,953.820007,0,Holding,0.0,0.0,-34.88995499999987
55,2021-03-25,953.26001,955.23999,948.340027,954.98999,0,sell,-2.169983000000002,-0.22654727299382446,-37.059937999999875
56,2021-03-26,955.679993,959.460022,951.130005,956.700012,0,No action,0.0,0.0,-37.059937999999875
57,2021-03-29,956.880005,961.72998,952.219971,954.099976,0,No action,0.0,0.0,-37.059937999999875
58,2021-03-30,954.539978,959.880005,954.539978,958.059998,0,No action,0.0,0.0,-37.059937999999875
59,2021-03-31,958.380005,961.02002,954.169983,956.169983,0,No action,0.0,0.0,-37.059937999999875
60,2021-04-01,956.869995,965.809998,954.929993,965.780029,1,Buy,0.0,0.0,-37.059937999999875
61,2021-04-02,967.559998,971.169983,966.340027,970.090027,1,Holding,0.0,0.0,-37.059937999999875
62,2021-04-05,971.039978,973.570007,966.52002,969.77002,1,Holding,0.0,0.0,-37.059937999999875
63,2021-04-06,971.109985,974.140015,964.619995,968.630005,1,Holding,0.0,0.0,-37.059937999999875
64,2021-04-07,969.299988,974.109985,968.349976,973.219971,0,Holding,0.0,0.0,-37.059937999999875
65,2021-04-08,974.140015,982.039978,969.530029,982.02002,0,sell,17.619995000000017,1.8244314927742225,-19.439942999999857
66,2021-04-09,983.400024,991.169983,983.400024,989.390015,0,No action,0.0,0.0,-19.439942999999857
67,2021-04-12,992.309998,1000.780029,990.320007,1000.650024,1,Buy,0.0,0.0,-19.439942999999857
68,2021-04-13,1001.0,1010.799988,1001.0,1010.369995,1,Holding,0.0,0.0,-19.439942999999857
69,2021-04-14,1011.349976,1016.059998,1009.340027,1014.419983,1,Holding,0.0,0.0,-19.439942999999857
70,2021-04-15,1014.340027,1014.719971,1008.799988,1013.900024,0,Holding,0.0,0.0,-19.439942999999857
71,2021-04-16,1015.710022,1022.359985,1014.400024,1021.619995,1,Holding,0.0,0.0,-19.439942999999857
72,2021-04-19,1022.059998,1032.640015,1020.580017,1029.459961,1,Holding,0.0,0.0,-19.439942999999857
73,2021-04-20,1029.180054,1031.900024,1025.47998,1031.880005,1,Holding,0.0,0.0,-19.439942999999857
74,2021-04-21,1031.26001,1031.26001,1019.590027,1022.219971,1,Holding,0.0,0.0,-19.439942999999857
75,2021-04-22,1023.650024,1029.800049,1023.429993,1025.709961,1,Holding,0.0,0.0,-19.439942999999857
76,2021-04-23,1024.290039,1029.790039,1018.869995,1026.819946,0,Holding,0.0,0.0,-19.439942999999857
