,True_Label,Predicted_results,action
0,0,1,Buy
1,1,0,Holding
2,1,0,sell
3,1,0,No action
4,1,0,No action
5,1,1,Buy
6,1,1,Holding
7,1,0,Holding
8,1,0,sell
9,1,1,Buy
10,1,0,Holding
11,0,1,Holding
12,0,0,Holding
13,0,0,sell
14,0,1,Buy
15,0,0,Holding
16,1,0,sell
17,0,1,Buy
18,1,1,Holding
19,1,1,Holding
20,1,0,Holding
21,1,0,sell
22,1,0,No action
23,1,0,No action
24,1,1,Buy
25,1,1,Holding
26,1,0,Holding
27,1,1,Holding
28,0,1,Holding
29,0,0,Holding
30,0,1,Holding
31,0,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,0,Holding
35,0,1,Holding
36,0,0,Holding
37,0,1,Holding
38,1,1,Holding
39,1,1,Holding
40,0,1,Holding
41,0,1,Holding
42,0,1,Holding
43,0,1,Holding
44,0,0,Holding
45,0,0,sell
46,0,0,No action
47,0,0,No action
48,1,1,Buy
49,0,1,Holding
50,0,1,Holding
51,0,1,Holding
52,0,1,Holding
53,1,1,Holding
54,1,1,Holding
55,1,1,Holding
56,1,1,Holding
57,1,1,Holding
58,0,1,Holding
59,0,1,Holding
60,0,1,Holding
61,0,0,Holding
62,1,0,sell
63,1,0,No action
64,1,1,Buy
65,1,1,Holding
66,1,0,Holding
67,1,0,sell
68,1,0,No action
69,1,1,Buy
70,0,0,Holding
71,1,1,Holding
72,1,0,Holding
73,0,0,sell
74,0,1,Buy
75,1,1,Holding
76,1,1,Holding
77,1,1,Holding
78,1,1,Holding
79,0,1,Holding
80,1,1,Holding
81,0,1,Holding
82,0,1,Holding
83,1,1,Holding
84,1,1,Holding
85,1,1,Holding
86,1,1,Holding
87,0,0,Holding
88,0,1,Holding
89,0,0,Holding
90,1,0,sell
91,1,1,Buy
92,1,1,Holding
93,1,0,Holding
94,1,0,sell
95,1,1,Buy
96,1,1,Holding
97,1,1,Holding
98,1,0,Holding
99,1,0,sell
100,1,1,Buy
101,1,1,Holding
102,1,1,Holding
103,1,1,Holding
104,1,1,Holding
105,1,1,Holding
106,1,1,Holding
107,0,1,Holding
108,0,1,Holding
109,0,1,Holding
110,0,1,Holding
111,1,1,Holding
112,1,1,Holding
113,1,0,Holding
114,0,0,sell
115,0,1,Buy
116,0,0,Holding
117,0,0,sell
118,0,1,Buy
119,0,1,Holding
120,1,0,Holding
121,0,0,sell
122,1,0,No action
123,1,0,No action
124,1,1,Buy
125,1,1,Holding
126,1,1,Holding
127,0,1,Holding
128,1,1,Holding
129,1,0,Holding
130,1,0,sell
131,1,1,Buy
132,1,1,Holding
133,1,1,Holding
134,1,1,Holding
135,1,1,Holding
136,1,0,Holding
137,0,0,sell
138,0,1,Buy
139,0,1,Holding
140,0,1,Holding
141,1,1,Holding
142,1,0,Holding
143,1,0,sell
144,1,1,Buy
145,1,0,Holding
146,1,0,sell
147,1,1,Buy
148,1,0,Holding
149,1,0,sell
150,1,1,Buy
151,1,1,Holding
152,1,1,Holding
153,1,1,Holding
154,0,1,Holding
155,1,1,Holding
156,1,0,Holding
157,1,1,Holding
158,1,1,Holding
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,1,0,Holding
163,1,0,sell
164,1,1,Buy
165,1,0,Holding
166,0,1,Holding
167,0,1,Holding
168,0,1,Holding
169,0,1,Holding
170,0,1,Holding
171,0,1,Holding
172,1,0,Holding
173,0,1,Holding
174,1,1,Holding
175,1,0,Holding
176,0,1,Holding
177,0,0,Holding
178,0,1,Holding
179,0,1,Holding
180,0,0,Holding
181,1,1,Holding
182,0,1,Holding
183,1,1,Holding
184,1,1,Holding
185,1,1,Holding
186,1,1,Holding
187,1,1,Holding
188,1,1,Holding
189,1,1,Holding
190,1,1,Holding
191,1,0,Holding
192,1,0,sell
193,1,1,Buy
194,1,1,Holding
195,1,0,Holding
196,0,1,Holding
197,0,1,Holding
198,0,1,Holding
199,0,1,Holding
200,0,0,Holding
201,1,1,Holding
202,0,0,Holding
203,0,1,Holding
204,0,1,Holding
205,0,1,Holding
206,0,1,Holding
207,0,1,Holding
208,1,0,Holding
209,1,0,sell
210,1,1,Buy
211,1,1,Holding
212,1,1,Holding
213,1,1,Holding
214,1,1,Holding
215,1,1,Holding
216,1,1,Holding
217,1,1,Holding
218,1,0,Holding
219,1,1,Holding
220,1,0,Holding
221,0,1,Holding
222,0,1,Holding
223,1,1,Holding
224,1,1,Holding
225,1,1,Holding
226,1,1,Holding
227,1,1,Holding
228,1,1,Holding
229,1,1,Holding
230,1,0,Holding
231,1,1,Holding
232,1,1,Holding
233,1,1,Holding
234,0,1,Holding
235,0,1,Holding
236,0,1,Holding
237,1,1,Holding
238,1,1,Holding
239,1,1,Holding
240,1,1,Holding
241,1,1,Holding
242,0,0,Holding
243,0,0,sell
244,0,0,No action
245,1,0,No action
246,1,0,No action
247,1,0,No action
248,1,0,No action
249,0,1,Buy
250,1,1,Holding
251,1,1,Holding
252,1,0,sell
