,True_Label,Predicted_results,action
0,0,1,Buy
1,1,1,Holding
2,0,1,Holding
3,1,1,Holding
4,1,1,Holding
5,0,1,Holding
6,1,1,Holding
7,0,1,Holding
8,1,1,Holding
9,1,1,Holding
10,1,1,Holding
11,0,1,Holding
12,1,1,Holding
13,1,1,Holding
14,0,1,Holding
15,0,1,Holding
16,1,1,Holding
17,0,1,Holding
18,1,1,Holding
19,0,1,Holding
20,1,1,Holding
21,1,1,Holding
22,1,1,Holding
23,1,1,Holding
24,0,1,Holding
25,1,1,Holding
26,1,1,Holding
27,1,1,Holding
28,0,1,Holding
29,1,1,Holding
30,0,1,Holding
31,1,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,0,1,Holding
36,0,1,Holding
37,0,1,Holding
38,0,1,Holding
39,1,1,Holding
40,0,1,Holding
41,1,0,Holding
42,0,1,Holding
43,0,1,Holding
44,0,0,Holding
45,1,0,sell
46,0,0,No action
47,0,0,No action
48,1,0,No action
49,0,0,No action
50,1,0,No action
51,0,0,No action
52,1,0,No action
53,0,0,No action
54,0,0,No action
55,1,0,No action
56,1,0,No action
57,1,0,No action
58,0,0,No action
59,1,1,Buy
60,0,1,Holding
61,0,0,Holding
62,1,0,sell
63,0,0,No action
64,1,0,No action
65,0,0,No action
66,1,0,No action
67,1,0,No action
68,0,1,Buy
69,1,1,Holding
70,0,1,Holding
71,1,1,Holding
72,1,1,Holding
73,0,1,Holding
74,0,1,Holding
75,1,1,Holding
76,0,1,Holding
77,1,1,Holding
78,1,0,Holding
79,0,0,sell
80,1,1,Buy
81,0,1,Holding
82,0,1,Holding
83,1,1,Holding
84,1,1,Holding
85,0,1,Holding
86,1,1,Holding
87,1,1,Holding
88,1,1,Holding
89,0,1,Holding
90,0,1,Holding
91,1,1,Holding
92,1,1,Holding
93,1,1,Holding
94,0,0,Holding
95,1,0,sell
96,0,0,No action
97,1,0,No action
98,1,0,No action
99,1,0,No action
100,0,0,No action
101,1,0,No action
102,1,0,No action
103,1,0,No action
104,1,0,No action
105,0,0,No action
106,1,0,No action
107,1,0,No action
108,0,0,No action
109,0,0,No action
110,0,0,No action
111,1,1,Buy
112,1,0,Holding
113,1,0,sell
114,0,1,Buy
115,1,0,Holding
116,0,0,sell
117,1,0,No action
118,1,1,Buy
119,0,1,Holding
120,1,1,Holding
121,0,1,Holding
122,1,1,Holding
123,1,1,Holding
124,1,1,Holding
125,1,1,Holding
126,1,1,Holding
127,0,1,Holding
128,1,0,Holding
129,0,1,Holding
130,1,1,Holding
131,0,1,Holding
132,1,1,Holding
133,1,0,Holding
134,0,1,Holding
135,1,1,Holding
136,1,1,Holding
137,1,1,Holding
138,1,1,Holding
139,0,1,Holding
140,0,1,Holding
141,1,1,Holding
142,0,1,Holding
143,1,1,Holding
144,0,1,Holding
145,1,1,Holding
146,1,1,Holding
147,1,1,Holding
148,1,1,Holding
149,1,1,Holding
150,1,1,Holding
151,1,1,Holding
152,0,1,Holding
153,1,1,Holding
154,0,1,Holding
155,0,1,Holding
156,1,1,Holding
157,1,1,Holding
158,0,1,Holding
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,1,1,Holding
163,1,1,Holding
164,1,1,Holding
165,1,1,Holding
166,0,1,Holding
167,1,1,Holding
168,1,1,Holding
169,0,1,Holding
170,0,1,Holding
171,0,1,Holding
172,1,1,Holding
173,0,1,Holding
174,1,1,Holding
175,1,1,Holding
176,1,1,Holding
177,0,1,Holding
178,0,1,Holding
179,0,1,Holding
180,0,1,Holding
181,1,1,Holding
182,0,1,Holding
183,1,1,Holding
184,1,0,Holding
185,1,0,sell
186,0,0,No action
187,1,0,No action
188,1,0,No action
189,0,1,Buy
190,1,1,Holding
191,0,0,Holding
192,1,0,sell
193,1,0,No action
194,1,0,No action
195,1,0,No action
196,0,0,No action
197,0,1,Buy
198,0,0,Holding
199,1,1,Holding
200,0,1,Holding
201,1,1,Holding
202,0,0,Holding
203,1,1,Holding
204,1,0,Holding
205,0,1,Holding
206,0,1,Holding
207,0,1,Holding
208,1,1,Holding
209,0,1,Holding
210,1,1,Holding
211,1,1,Holding
212,1,1,Holding
213,1,1,Holding
214,0,1,Holding
215,1,1,Holding
216,0,1,Holding
217,1,0,Holding
218,0,1,Holding
219,1,1,Holding
220,1,0,Holding
221,0,0,sell
222,0,0,No action
223,1,1,Buy
224,0,0,Holding
225,1,0,sell
226,1,0,No action
227,0,1,Buy
228,1,1,Holding
229,0,1,Holding
230,1,1,Holding
231,1,1,Holding
232,0,1,Holding
233,1,0,Holding
234,0,0,sell
235,1,0,No action
236,0,0,No action
237,0,0,No action
238,0,0,No action
239,0,0,No action
240,1,0,No action
241,1,0,No action
242,1,0,No action
243,0,0,No action
244,0,0,No action
245,0,1,Buy
246,1,1,Holding
247,1,1,Holding
248,1,1,Holding
249,0,1,Holding
250,1,1,Holding
251,1,1,Holding
252,0,1,sell
