,True_Label,Predicted_results,action
0,1,1,Buy
1,0,1,Holding
2,1,1,Holding
3,0,0,Holding
4,1,1,Holding
5,1,1,Holding
6,1,0,Holding
7,1,0,sell
8,0,0,No action
9,1,0,No action
10,1,0,No action
11,1,0,No action
12,0,0,No action
13,1,0,No action
14,0,0,No action
15,0,0,No action
16,1,0,No action
17,0,0,No action
18,0,0,No action
19,0,0,No action
20,1,0,No action
21,1,0,No action
22,1,0,No action
23,0,1,Buy
24,0,1,Holding
25,1,1,Holding
26,1,1,Holding
27,0,1,Holding
28,1,1,Holding
29,0,1,Holding
30,0,1,Holding
31,1,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,1,1,Holding
36,0,1,Holding
37,0,1,Holding
38,0,1,Holding
39,1,1,Holding
40,1,1,Holding
41,1,1,Holding
42,1,1,Holding
43,0,1,Holding
44,0,1,Holding
45,1,1,Holding
46,0,1,Holding
47,0,1,Holding
48,0,0,Holding
49,0,0,sell
50,0,0,No action
51,0,1,Buy
52,0,0,Holding
53,1,0,sell
54,0,0,No action
55,1,0,No action
56,1,0,No action
57,0,0,No action
58,1,0,No action
59,0,0,No action
60,1,0,No action
61,0,0,No action
62,1,0,No action
63,1,1,Buy
64,1,0,Holding
65,1,0,sell
66,0,0,No action
67,1,0,No action
68,1,0,No action
69,0,0,No action
70,1,0,No action
71,0,0,No action
72,1,0,No action
73,0,0,No action
74,0,0,No action
75,1,0,No action
76,1,0,No action
77,0,0,No action
78,1,0,No action
79,1,0,No action
80,1,0,No action
81,0,0,No action
82,1,0,No action
83,0,0,No action
84,1,1,Buy
85,0,0,Holding
86,0,0,sell
87,1,0,No action
88,0,0,No action
89,1,0,No action
90,1,1,Buy
91,1,0,Holding
92,1,0,sell
93,1,0,No action
94,0,0,No action
95,1,0,No action
96,1,0,No action
97,1,0,No action
98,0,0,No action
99,1,0,No action
100,1,0,No action
101,1,0,No action
102,1,1,Buy
103,1,0,Holding
104,1,1,Holding
105,1,1,Holding
106,1,1,Holding
107,1,1,Holding
108,0,1,Holding
109,0,1,Holding
110,0,1,Holding
111,1,1,Holding
112,1,1,Holding
113,0,1,Holding
114,1,1,Holding
115,0,1,Holding
116,1,1,Holding
117,1,1,Holding
118,0,1,Holding
119,1,1,Holding
120,0,1,Holding
121,1,0,Holding
122,0,0,sell
123,1,0,No action
124,1,1,Buy
125,1,0,Holding
126,0,0,sell
127,0,0,No action
128,1,0,No action
129,0,0,No action
130,1,0,No action
131,0,1,Buy
132,1,1,Holding
133,0,1,Holding
134,1,1,Holding
135,0,1,Holding
136,1,1,Holding
137,0,1,Holding
138,0,1,Holding
139,0,1,Holding
140,1,1,Holding
141,1,1,Holding
142,1,1,Holding
143,1,1,Holding
144,0,1,Holding
145,1,1,Holding
146,1,1,Holding
147,1,1,Holding
148,1,1,Holding
149,1,1,Holding
150,1,1,Holding
151,1,1,Holding
152,1,1,Holding
153,1,1,Holding
154,0,1,Holding
155,0,1,Holding
156,1,1,Holding
157,0,1,Holding
158,1,1,Holding
159,1,1,Holding
160,1,1,Holding
161,1,1,Holding
162,0,0,Holding
163,1,0,sell
164,0,1,Buy
165,1,1,Holding
166,1,0,Holding
167,1,0,sell
168,0,0,No action
169,1,1,Buy
170,1,1,Holding
171,0,1,Holding
172,1,1,Holding
173,1,1,Holding
174,1,1,Holding
175,1,1,Holding
176,0,1,Holding
177,0,1,Holding
178,1,1,Holding
179,0,0,Holding
180,0,1,Holding
181,1,1,Holding
182,0,1,Holding
183,1,1,Holding
184,1,1,Holding
185,1,1,Holding
186,1,1,Holding
187,1,1,Holding
188,1,1,Holding
189,1,1,Holding
190,1,1,Holding
191,0,1,Holding
192,0,1,Holding
193,0,1,Holding
194,0,1,Holding
195,1,1,Holding
196,1,1,Holding
197,1,1,Holding
198,0,1,Holding
199,1,1,Holding
200,0,1,Holding
201,0,1,Holding
202,1,1,Holding
203,0,1,Holding
204,0,1,Holding
205,1,1,Holding
206,1,1,Holding
207,1,1,Holding
208,1,1,Holding
209,1,1,Holding
210,1,1,Holding
211,1,1,Holding
212,1,1,Holding
213,0,1,Holding
214,1,1,Holding
215,1,1,Holding
216,0,1,Holding
217,1,1,Holding
218,1,1,Holding
219,1,1,Holding
220,1,1,Holding
221,1,1,Holding
222,0,1,Holding
223,1,1,Holding
224,1,1,Holding
225,0,1,Holding
226,1,1,Holding
227,1,1,Holding
228,1,1,Holding
229,1,1,Holding
230,1,1,Holding
231,0,1,Holding
232,1,1,Holding
233,0,1,Holding
234,1,1,Holding
235,0,1,Holding
236,0,1,Holding
237,1,1,Holding
238,0,1,Holding
239,1,1,Holding
240,1,1,Holding
241,0,1,Holding
242,1,1,Holding
243,1,1,Holding
244,1,1,Holding
245,1,1,Holding
246,1,1,Holding
247,1,1,sell
