,Data_Frame_Name,No_Trade,Winning_Ratio,Profit_Average,Loss_Average,Payoff_Ratio,Profit_Factor,MDD,MDD(portfolio),Max_Holding_Period,Mean_Holding_Period,Max_Profit,Max_Profit_Return,Max_Loss,Max_Loss_Return,Max_Cum_Profit,Max_Cum_Profit_Return,Max_Cum_Loss,Max_Cum_Loss_Return,Last_Cumulative,Last_Cumulative_Return,Max_Portfolio_Profit,Max_Portfolio_Profit_Return,Max_Portfolio_Loss,Max_Portfolio_Loss_Return
0,IXIC_LSTM_1day_5,5,0.8,786.3425290000005,-436.4902350000002,1.8015123041641472,7.206049216656589,-4.505194275904778,-21.275892098517325,26.0,9.767857142857142,1702.6904290000002,15.222178291414206,-436.4902350000002,-5.095327498609863,1006.1894520000014,10.850275083307373,-21.291016999998646,-0.22959234048237537,1006.1894520000014,10.850275083307373,1106.479491000001,11.931755821455301,-1290.6113289999985,-13.917347192865304
1,IXIC_LSTM_1day_20,5,0.8,907.25488275,-186.9003900000007,4.854216102759318,19.41686441103727,-1.867732054596527,-23.923247154555625,41.0,16.015873015873016,1727.70996,15.480480939110592,-186.9003900000007,-1.5955477406972234,1714.409180999999,20.01091534026461,343.6494139999995,4.011142384500295,1714.409180999999,20.01091534026461,1987.1992199999986,23.194973403295055,-1706.7001950000003,-19.920934565596056
2,IXIC_LSTM_1day_60,4,1.0,1039.7878417500006,,0.0,-inf,0.0,-5.60381811205215,54.0,22.897058823529413,2833.6005860000005,40.5388485178574,63.41015599999992,0.5360436322969756,3307.661133000001,47.320985985669765,2833.6005860000005,40.5388485178574,3307.661133000001,47.320985985669765,3442.990234000001,49.25706898642928,-129.16992200000004,-1.8479668330437935
3,IXIC_LSTM_1day_120,2,1.0,4748.165039,,0.0,-inf,0.0,-11.806554382817946,155.0,78.0,5470.420410000001,73.74661305326416,4025.909668,54.27319661404071,4025.909668,54.2731966140407,4025.909668,54.2731966140407,4025.909668,54.2731966140407,4638.580567000001,62.53259906050616,-57.27978499999972,-0.7721874780313536
4,IXIC_VIT_1day_5,34,0.6764705882352942,299.7817807826088,-306.0509590000001,0.9795159007575882,2.048078701584048,-19.22207985930794,-23.422381521803924,16.0,3.864864864864865,974.9101570000004,10.983233378797298,-880.0498049999997,-11.066955396162784,3411.2504880000006,37.8155153645949,-1302.4794930000016,-14.438673868387978,3411.2504880000006,37.8155153645949,3579.8608400000003,39.68465026955582,-1637.9594730000017,-18.15764683235872
5,IXIC_VIT_1day_20,27,0.7777777777777778,446.65343661904774,-666.6385091666665,0.670008453573119,2.3450295875059166,-35.840622134407106,-39.19766704725988,21.0,6.2023809523809526,935.5205079999996,11.56489974605979,-1341.7797849999988,-14.988318996297966,5256.360841000004,58.269539233171265,-2874.160156,-31.861585046851143,5256.360841000004,58.269539233171265,5391.030763000003,59.762426525515934,-3164.070312,-35.07539241665169
6,IXIC_VIT_1day_60,24,0.625,529.4027016666669,-311.57579222222216,1.6991137144861568,2.8318561908102615,-20.788119552807018,-22.81746014166067,38.0,9.673684210526316,1256.0800789999994,14.104477255602198,-972.5600589999996,-12.350157379537004,5013.328122000004,55.138837671705076,-1506.3618170000027,-16.567644822194982,5013.328122000004,55.138837671705076,5147.998044000004,56.61999804814914,-1635.5317390000027,-17.988313724748973
7,IXIC_VIT_1day_120,21,0.7619047619047619,369.5026854375002,-264.71191419999997,1.3958672262795349,4.466775124094512,-10.13489799999434,-29.617820508581218,42.0,11.010471204188482,762.6396489999988,7.770872490734925,-981.9296880000002,-10.095966793380056,4508.123045000002,49.58236499452643,-385.520509,-4.240127964411761,4508.123045000002,49.58236499452643,4599.623045000002,50.58872315106143,-2208.940431,-24.29492043756061
8,IXIC_Fusion_soft_1day_lgb,24,0.75,363.3283690555555,-316.913493,1.146459135002988,3.439377405008964,-12.424277482092084,-18.38363918453695,22.0,6.642424242424243,850.7402340000008,10.943156582379608,-608.5502930000002,-7.10385432152907,4620.149411999999,50.81448136805026,-869.8110370000013,-9.566573024361977,4620.149411999999,50.81448136805026,4638.429684999999,51.015536032938094,-1060.7412120000017,-11.666508969060404
9,IXIC_Fusion_soft_1day_SVM,13,0.7692307692307693,564.8859375999998,-760.5099279999995,0.7427726013854222,2.4759086712847407,-17.603983705440506,-29.217007258121985,46.0,15.139013452914797,1311.9101569999991,16.57867217733705,-1662.0395499999995,-18.18561388330344,3349.049318999999,36.83435080670653,-1312.9604479999998,-14.440529574345923,3349.049318999999,36.83435080670653,3367.329591999999,37.03540547159436,-1929.5605459999997,-21.222174797762122
