,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2020-01-02,672.530029,674.299988,666.619995,674.02002,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
1,2020-01-03,677.570007,679.369995,668.099976,669.929993,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
2,2020-01-06,660.080017,663.099976,653.609985,655.309998,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
3,2020-01-07,660.869995,664.210022,659.179993,663.440002,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
4,2020-01-08,657.23999,658.140015,637.429993,640.940002,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
5,2020-01-09,657.01001,666.090027,656.25,666.090027,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
6,2020-01-10,668.789978,673.030029,665.919983,673.030029,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
7,2020-01-13,673.76001,679.219971,673.22998,679.219971,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
8,2020-01-14,682.140015,685.880005,676.780029,678.710022,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
9,2020-01-15,678.830017,681.390015,676.909973,679.159973,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
10,2020-01-16,679.669983,686.52002,679.48999,686.52002,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
11,2020-01-17,689.72998,690.609985,686.679993,688.409973,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
12,2020-01-20,690.849976,691.169983,682.47998,683.469971,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
13,2020-01-21,683.820007,685.890015,675.47998,676.52002,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,551.840027,551.840027
