,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2021-01-04,968.859985,977.619995,960.52002,977.619995,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,977.619995,977.619995
1,2021-01-05,976.429993,985.76001,965.530029,985.76001,1,Holding,0.0,0.0,0.0,8.140014999999948,8.140014999999948,1,0.0,0.8326358955045665,0.8326358955045665,977.619995,985.76001
2,2021-01-06,987.25,990.880005,977.369995,981.390015,1,Holding,0.0,0.0,0.0,3.7700199999999313,3.7700199999999313,2,0.0,0.3856324563001528,0.3856324563001528,977.619995,981.390015
3,2021-01-07,983.280029,993.909973,982.27002,988.859985,1,Holding,0.0,0.0,0.0,11.239990000000034,11.239990000000034,3,0.0,1.14972996230504,1.14972996230504,977.619995,988.859985
4,2021-01-08,990.700012,995.219971,978.119995,987.789978,1,Holding,0.0,0.0,0.0,10.169983000000002,10.169983000000002,4,0.0,1.040279766372823,1.040279766372823,977.619995,987.789978
5,2021-01-11,988.380005,993.200012,953.359985,976.630005,1,Holding,0.0,0.0,0.0,-0.9899900000000343,-0.9899900000000343,5,0.0,-0.10126531833056815,-0.10126531833056815,977.619995,976.630005
6,2021-01-12,977.140015,982.460022,956.719971,973.719971,1,Holding,0.0,0.0,0.0,-3.9000240000000304,-3.9000240000000304,6,0.0,-0.39893046581970026,-0.39893046581970026,977.619995,973.719971
7,2021-01-13,974.140015,982.659973,972.099976,979.130005,1,Holding,0.0,0.0,0.0,1.5100099999999657,1.5100099999999657,7,0.0,0.15445776556564453,0.15445776556564453,977.619995,979.130005
8,2021-01-14,979.099976,980.289978,973.630005,980.289978,1,Holding,0.0,0.0,0.0,2.669983000000002,2.669983000000002,8,0.0,0.27311051468418485,0.27311051468418485,977.619995,980.289978
9,2021-01-15,981.719971,982.309998,963.090027,964.440002,1,Holding,0.0,0.0,0.0,-13.179992999999968,-13.179992999999968,9,0.0,-1.348171382276195,-1.348171382276195,977.619995,964.440002
10,2021-01-18,963.179993,967.049988,940.109985,944.669983,1,Holding,0.0,0.0,0.0,-32.950012000000015,-32.950012000000015,10,0.0,-3.3704314732228866,-3.3704314732228866,977.619995,944.669983
11,2021-01-19,945.330017,962.140015,936.929993,957.75,1,Holding,0.0,0.0,0.0,-19.869995000000017,-19.869995000000017,11,0.0,-2.0324865593609323,-2.0324865593609323,977.619995,957.75
12,2021-01-20,959.52002,978.880005,959.52002,977.659973,1,Holding,0.0,0.0,0.0,0.039978000000019165,0.039978000000019165,12,0.0,0.004089318979203076,0.004089318979203076,977.619995,977.659973
13,2021-01-21,979.820007,984.97998,975.619995,981.400024,1,Holding,0.0,0.0,0.0,3.780029000000013,3.780029000000013,13,0.0,0.3866562692388481,0.3866562692388481,977.619995,981.400024
14,2021-01-22,982.200012,984.669983,975.049988,979.97998,1,Holding,0.0,0.0,0.0,2.359984999999938,2.359984999999938,14,0.0,0.241401056859515,0.241401056859515,977.619995,979.97998
15,2021-01-25,981.049988,999.640015,981.049988,999.299988,1,Holding,0.0,0.0,0.0,21.679992999999968,21.679992999999968,15,0.0,2.2176298675233177,2.2176298675233177,977.619995,999.299988
16,2021-01-26,1000.0,1007.52002,989.030029,994.0,1,Holding,0.0,0.0,0.0,16.380004999999983,16.380004999999983,16,0.0,1.6754981571341514,1.6754981571341514,977.619995,994.0
17,2021-01-27,996.419983,1000.75,984.369995,985.919983,1,Holding,0.0,0.0,0.0,8.299987999999985,8.299987999999985,17,0.0,0.8489994110646217,0.8489994110646217,977.619995,985.919983
