,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2020-01-02,2201.209961,2202.320068,2171.840088,2175.169922,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
1,2020-01-03,2192.580078,2203.379883,2165.389893,2176.459961,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
2,2020-01-06,2154.969971,2164.419922,2149.949951,2155.070068,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
3,2020-01-07,2166.600098,2181.620117,2164.27002,2175.540039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
4,2020-01-08,2156.27002,2162.320068,2137.719971,2151.310059,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
5,2020-01-09,2182.199951,2186.449951,2172.159912,2186.449951,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
6,2020-01-10,2189.47998,2206.919922,2188.100098,2206.389893,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
7,2020-01-13,2204.48999,2230.429932,2204.48999,2229.26001,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
8,2020-01-14,2243.060059,2250.790039,2232.939941,2238.879883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
9,2020-01-15,2229.800049,2238.209961,2223.389893,2230.97998,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
10,2020-01-16,2231.929932,2249.090088,2225.409912,2248.050049,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
11,2020-01-17,2261.570068,2268.709961,2245.580078,2250.570068,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
12,2020-01-20,2261.399902,2277.22998,2258.090088,2262.639893,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
13,2020-01-21,2259.810059,2266.310059,2238.25,2239.689941,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
14,2020-01-22,2238.530029,2269.27002,2235.129883,2267.25,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2267.25,2267.25
15,2020-01-23,2254.540039,2260.629883,2241.939941,2246.129883,0,Holding,0.0,0.0,0.0,-21.120116999999937,-21.120116999999937,1,0.0,-0.9315301356268578,-0.9315301356268578,2267.25,2246.129883
