,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2020-01-02,9039.459961,9093.429688,9010.889648,9092.19043,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
1,2020-01-03,8976.429688,9065.759766,8976.429688,9020.769531,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
2,2020-01-06,8943.5,9072.410156,8943.5,9071.469727,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
3,2020-01-07,9076.639648,9091.929688,9042.549805,9068.580078,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
4,2020-01-08,9068.030273,9168.889648,9059.379883,9129.240234,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
5,2020-01-09,9202.269531,9215.950195,9158.5,9203.429688,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
6,2020-01-10,9232.950195,9235.200195,9164.660156,9178.860352,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
7,2020-01-13,9213.719727,9274.490234,9193.05957,9273.929688,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
8,2020-01-14,9270.610352,9298.330078,9226.490234,9251.330078,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
9,2020-01-15,9253.759766,9298.820313,9231.139648,9258.700195,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
10,2020-01-16,9313.450195,9357.919922,9301.320313,9357.129883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
11,2020-01-17,9392.370117,9393.480469,9346.80957,9388.94043,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
12,2020-01-21,9361.070313,9397.580078,9350.200195,9370.80957,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
13,2020-01-22,9413.610352,9439.290039,9375.129883,9383.769531,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
14,2020-01-23,9377.719727,9409.200195,9334.129883,9402.480469,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
15,2020-01-24,9446.209961,9451.429688,9273.230469,9314.910156,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
16,2020-01-27,9092.459961,9185.450195,9088.040039,9139.30957,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
17,2020-01-28,9201.820313,9288.870117,9182.330078,9269.679688,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
18,2020-01-29,9318.259766,9329.120117,9249.040039,9275.160156,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
19,2020-01-30,9211.150391,9303.0,9185.179688,9298.929688,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
20,2020-01-31,9324.330078,9324.799805,9123.219727,9150.94043,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
21,2020-02-03,9190.719727,9299.849609,9188.549805,9273.400391,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
22,2020-02-04,9398.389648,9485.379883,9374.049805,9467.969727,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
23,2020-02-05,9574.099609,9574.94043,9454.929688,9508.679688,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
24,2020-02-06,9540.980469,9575.660156,9505.679688,9572.150391,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
25,2020-02-07,9526.639648,9570.089844,9496.530273,9520.509766,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
26,2020-02-10,9493.629883,9628.660156,9493.629883,9628.389648,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
27,2020-02-11,9680.889648,9714.740234,9617.209961,9638.94043,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
28,2020-02-12,9688.599609,9728.769531,9666.69043,9725.959961,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
29,2020-02-13,9657.040039,9748.320313,9650.019531,9711.969727,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
30,2020-02-14,9728.900391,9746.360352,9693.049805,9731.179688,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
31,2020-02-18,9679.040039,9747.679688,9675.799805,9732.740234,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
32,2020-02-19,9782.80957,9838.370117,9777.099609,9817.179688,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
33,2020-02-20,9799.200195,9820.860352,9636.94043,9750.969727,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
34,2020-02-21,9708.009766,9715.950195,9542.330078,9576.589844,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
35,2020-02-24,9188.44043,9322.879883,9166.009766,9221.280273,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
36,2020-02-25,9301.200195,9315.259766,8940.490234,8965.610352,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
37,2020-02-26,9011.549805,9148.320313,8927.799805,8980.780273,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
38,2020-02-27,8744.030273,8904.110352,8562.049805,8566.480469,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
39,2020-02-28,8269.740234,8591.820313,8264.160156,8567.370117,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
40,2020-03-02,8667.139648,8952.80957,8543.349609,8952.169922,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
41,2020-03-03,8965.099609,9070.320313,8602.889648,8684.089844,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
42,2020-03-04,8834.099609,9019.959961,8757.660156,9018.089844,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
43,2020-03-05,8790.089844,8921.080078,8677.389648,8738.589844,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
44,2020-03-06,8469.019531,8612.360352,8375.129883,8575.620117,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7874.879883,7874.879883
