,True_Label,Predicted_results,action
0,0,0,No action
1,0,0,No action
2,1,1,Buy
3,0,1,Holding
4,1,1,Holding
5,1,1,Holding
6,1,0,Holding
7,0,1,Holding
8,1,1,Holding
9,1,1,Holding
10,1,1,Holding
11,0,0,Holding
12,0,0,sell
13,1,0,No action
14,0,1,Buy
15,0,0,Holding
16,1,0,sell
17,0,0,No action
18,0,0,No action
19,1,0,No action
20,1,0,No action
21,1,0,No action
22,1,0,No action
23,0,0,No action
24,1,0,No action
25,1,0,No action
26,1,1,Buy
27,1,0,Holding
28,1,0,sell
29,1,0,No action
30,0,0,No action
31,1,0,No action
32,0,0,No action
33,0,0,No action
34,0,0,No action
35,1,0,No action
36,0,1,Buy
37,0,0,Holding
38,0,1,Holding
39,1,1,Holding
40,0,1,Holding
41,1,1,Holding
42,1,1,Holding
43,0,1,Holding
44,0,0,Holding
45,1,1,Holding
46,0,0,Holding
47,0,0,sell
48,0,1,Buy
49,0,1,Holding
50,1,1,Holding
51,0,0,Holding
52,0,0,sell
53,1,0,No action
54,0,0,No action
55,1,1,Buy
56,1,1,Holding
57,1,1,Holding
58,1,1,Holding
59,1,1,Holding
60,1,1,Holding
61,0,0,Holding
62,1,0,sell
63,1,0,No action
64,1,0,No action
65,1,0,No action
66,1,1,Buy
67,1,1,Holding
68,0,1,Holding
69,0,1,Holding
70,1,1,Holding
71,1,0,Holding
72,1,0,sell
73,1,1,Buy
74,0,1,Holding
75,1,1,Holding
76,1,0,Holding
77,0,0,sell
78,1,0,No action
79,0,1,Buy
80,1,0,Holding
81,0,0,sell
82,1,0,No action
83,1,0,No action
84,1,0,No action
85,1,0,No action
86,0,0,No action
87,1,0,No action
88,0,0,No action
89,1,1,Buy
90,0,0,Holding
91,1,0,sell
92,1,1,Buy
93,1,0,Holding
94,0,0,sell
95,1,1,Buy
96,1,0,Holding
97,0,1,Holding
98,0,1,Holding
99,1,1,Holding
100,1,0,Holding
101,1,0,sell
102,0,0,No action
103,1,0,No action
104,1,0,No action
105,1,0,No action
106,1,1,Buy
107,1,0,Holding
108,0,1,Holding
109,0,0,Holding
110,0,0,sell
111,1,0,No action
112,1,0,No action
113,1,0,No action
114,1,0,No action
115,1,0,No action
116,1,0,No action
117,1,0,No action
118,0,0,No action
119,1,0,No action
120,0,1,Buy
121,1,0,Holding
122,0,0,sell
123,1,0,No action
124,1,1,Buy
