,True_Label,Predicted_results,action
0,1,1,Buy
1,0,1,Holding
2,1,0,Holding
3,0,0,sell
4,1,1,Buy
5,1,1,Holding
6,1,1,Holding
7,1,1,Holding
8,0,1,Holding
9,1,1,Holding
10,1,0,Holding
11,1,1,Holding
12,0,1,Holding
13,1,1,Holding
14,0,0,Holding
15,0,1,Holding
16,1,0,Holding
17,0,1,Holding
18,0,1,Holding
19,0,1,Holding
20,1,1,Holding
21,1,1,Holding
22,1,1,Holding
23,0,0,Holding
24,0,1,Holding
25,1,1,Holding
26,1,1,Holding
27,0,1,Holding
28,1,1,Holding
29,0,1,Holding
30,0,1,Holding
31,1,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,0,Holding
35,1,1,Holding
36,0,1,Holding
37,0,1,Holding
38,0,1,Holding
39,1,1,Holding
40,1,1,Holding
41,1,1,Holding
42,1,1,Holding
43,0,1,Holding
44,0,0,Holding
45,1,1,Holding
46,0,1,Holding
47,0,1,Holding
48,0,1,Holding
49,0,1,Holding
50,0,0,Holding
51,0,1,Holding
52,0,0,Holding
53,1,1,Holding
54,0,0,Holding
55,1,1,Holding
56,1,1,Holding
57,0,0,Holding
58,1,1,Holding
59,0,1,Holding
60,1,1,Holding
61,0,0,Holding
62,1,1,Holding
63,1,1,Holding
64,1,1,Holding
65,1,1,Holding
66,0,1,Holding
67,1,1,Holding
68,1,1,Holding
69,0,1,Holding
70,1,1,Holding
71,0,0,Holding
72,1,1,Holding
73,0,1,Holding
74,0,1,Holding
75,1,1,Holding
76,1,1,Holding
77,0,1,Holding
78,1,1,Holding
79,1,1,Holding
80,1,1,Holding
81,0,1,Holding
82,1,1,Holding
83,0,1,Holding
84,1,1,Holding
85,0,1,Holding
86,0,1,Holding
87,1,1,Holding
88,0,1,Holding
89,1,1,Holding
90,1,1,Holding
91,1,1,Holding
92,1,0,Holding
93,1,1,Holding
94,0,1,Holding
95,1,1,Holding
96,1,1,Holding
97,1,1,Holding
98,0,1,Holding
99,1,1,Holding
100,1,1,Holding
101,1,1,Holding
102,1,1,Holding
103,1,1,Holding
104,1,1,Holding
105,1,1,Holding
106,1,0,Holding
107,1,1,Holding
108,0,1,Holding
109,0,1,Holding
110,0,1,Holding
111,1,1,Holding
112,1,1,Holding
113,0,1,Holding
114,1,1,Holding
115,0,1,Holding
116,1,1,Holding
117,1,1,Holding
118,0,0,Holding
119,1,0,sell
120,0,1,Buy
121,1,1,Holding
122,0,1,Holding
123,1,1,Holding
124,1,1,Holding
125,1,0,Holding
126,0,1,Holding
127,0,1,Holding
128,1,1,Holding
129,0,1,Holding
130,1,1,Holding
131,0,1,Holding
132,1,0,Holding
133,0,1,Holding
134,1,1,Holding
135,0,1,Holding
136,1,1,Holding
137,0,1,Holding
138,0,1,Holding
139,0,1,Holding
140,1,1,Holding
141,1,1,Holding
142,1,1,Holding
143,1,1,Holding
144,0,1,Holding
145,1,1,Holding
146,1,0,Holding
147,1,1,Holding
148,1,1,Holding
149,1,0,Holding
150,1,1,Holding
151,1,1,Holding
152,1,1,Holding
153,1,1,Holding
154,0,1,Holding
155,0,1,Holding
156,1,1,Holding
157,0,0,Holding
158,1,1,Holding
159,1,1,Holding
160,1,0,Holding
161,1,1,Holding
162,0,1,Holding
163,1,0,Holding
164,0,1,Holding
165,1,1,Holding
166,1,1,Holding
167,1,1,Holding
168,0,1,Holding
169,1,1,Holding
170,1,1,Holding
171,0,1,Holding
172,1,1,Holding
173,1,1,Holding
174,1,0,Holding
175,1,0,sell
176,0,1,Buy
177,0,1,Holding
178,1,1,Holding
179,0,1,Holding
180,0,1,Holding
181,1,1,Holding
182,0,1,Holding
183,1,1,Holding
184,1,0,Holding
185,1,1,Holding
186,1,1,Holding
187,1,1,Holding
188,1,1,Holding
189,1,1,Holding
190,1,1,Holding
191,0,1,Holding
192,0,1,Holding
193,0,1,Holding
194,0,1,Holding
195,1,1,Holding
196,1,1,Holding
197,1,0,Holding
198,0,1,Holding
199,1,1,Holding
200,0,1,Holding
201,0,1,Holding
202,1,1,Holding
203,0,1,Holding
204,0,1,Holding
205,1,0,Holding
206,1,1,Holding
207,1,1,Holding
208,1,1,Holding
209,1,0,Holding
210,1,1,Holding
211,1,1,Holding
212,1,1,Holding
213,0,1,Holding
214,1,1,Holding
215,1,1,Holding
216,0,0,Holding
217,1,1,Holding
218,1,1,Holding
219,1,1,Holding
220,1,1,Holding
221,1,0,Holding
222,0,1,Holding
223,1,1,Holding
224,1,1,Holding
225,0,0,Holding
226,1,1,Holding
227,1,1,Holding
228,1,0,Holding
229,1,1,Holding
230,1,1,Holding
231,0,1,Holding
232,1,0,Holding
233,0,1,Holding
234,1,1,Holding
