,True_Label,Predicted_results,action
0,0,1,Buy
1,1,1,Holding
2,1,1,Holding
3,1,1,Holding
4,1,1,Holding
5,1,1,Holding
6,1,1,Holding
7,1,1,Holding
8,1,1,Holding
9,1,1,Holding
10,1,1,Holding
11,0,1,Holding
12,0,1,Holding
13,0,1,Holding
14,0,1,Holding
15,0,1,Holding
16,1,1,Holding
17,0,1,Holding
18,1,1,Holding
19,1,1,Holding
20,1,1,Holding
21,1,1,Holding
22,1,1,Holding
23,1,1,Holding
24,1,1,Holding
25,1,1,Holding
26,1,1,Holding
27,1,1,Holding
28,0,1,Holding
29,0,1,Holding
30,0,1,Holding
31,0,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,0,Holding
35,0,1,Holding
36,0,1,Holding
37,0,1,Holding
38,1,1,Holding
39,1,1,Holding
40,0,1,Holding
41,0,1,Holding
42,0,1,Holding
43,0,1,Holding
44,0,1,Holding
45,0,1,Holding
46,0,1,Holding
47,0,1,Holding
48,1,1,Holding
49,0,1,Holding
50,0,1,Holding
51,0,1,Holding
52,0,0,Holding
53,1,1,Holding
54,1,1,Holding
55,1,0,Holding
56,1,0,sell
57,1,0,No action
58,0,0,No action
59,0,0,No action
60,0,1,Buy
61,0,1,Holding
62,1,1,Holding
63,1,1,Holding
64,1,1,Holding
65,1,1,Holding
66,1,1,Holding
67,1,1,Holding
68,1,1,Holding
69,1,1,Holding
70,0,1,Holding
71,1,0,Holding
72,1,1,Holding
73,0,1,Holding
74,0,1,Holding
75,1,0,Holding
76,1,0,sell
77,1,0,No action
78,1,0,No action
79,0,0,No action
80,1,1,Buy
81,0,1,Holding
82,0,1,Holding
83,1,1,Holding
84,1,0,Holding
85,1,1,Holding
86,1,1,Holding
87,0,1,Holding
88,0,1,Holding
89,0,1,Holding
90,1,1,Holding
91,1,1,Holding
92,1,1,Holding
93,1,1,Holding
94,1,1,Holding
95,1,1,Holding
96,1,0,Holding
97,1,1,Holding
98,1,1,Holding
99,1,1,Holding
100,1,0,Holding
101,1,1,Holding
102,1,0,Holding
103,1,1,Holding
104,1,0,Holding
105,1,0,sell
106,1,1,Buy
