,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2022-01-04,2991.969971,2995.25,2973.080078,2989.23999,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2921.919922,2921.919922
1,2022-01-05,2984.050049,2986.199951,2936.72998,2953.969971,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2921.919922,2921.919922
2,2022-01-06,2925.399902,2952.540039,2915.379883,2920.530029,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2921.919922,2921.919922
3,2022-01-07,2933.780029,2959.030029,2933.100098,2954.889893,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2921.919922,2921.919922
4,2022-01-10,2947.370117,2951.120117,2910.899902,2926.719971,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2921.919922,2921.919922
5,2022-01-11,2930.929932,2943.570068,2909.820068,2927.379883,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2921.919922,2921.919922
6,2022-01-12,2950.780029,2972.580078,2950.310059,2972.47998,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2921.919922,2921.919922
7,2022-01-13,2979.909912,2982.139893,2958.389893,2962.090088,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2921.919922,2921.919922
8,2022-01-14,2937.610107,2944.969971,2914.72998,2921.919922,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2921.919922,2921.919922
9,2022-01-17,2918.550049,2919.669922,2875.97998,2890.100098,1,Holding,0.0,0.0,0.0,-31.819824000000153,-31.819824000000153,1,0.0,-1.0890039716837987,-1.0890039716837987,2921.919922,2890.100098
