,Date,Open,High,Low,Close,Predicted_results,action,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit,Unrealized_profit,Unrealized_profit_plus_Cumulative_Profit,Holding_Period,Cumulative_Return,Unrealized_Return,Unrealized_profit_plus_Cumulative_Profit_Return,Cum_portfolio,Unreal_Cum_portfolio
0,2022-01-03,4778.140137,4796.640137,4758.169922,4796.560059,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4700.580078,4700.580078
1,2022-01-04,4804.509766,4818.620117,4774.27002,4793.540039,0,No action,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4700.580078,4700.580078
2,2022-01-05,4787.990234,4797.700195,4699.439941,4700.580078,1,Buy,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4700.580078,4700.580078
3,2022-01-06,4693.390137,4725.009766,4671.259766,4696.049805,1,Holding,0.0,0.0,0.0,-4.530273000000307,-4.530273000000307,1,0.0,-0.09637689231597656,-0.09637689231597656,4700.580078,4696.049805
4,2022-01-07,4697.660156,4707.950195,4662.740234,4677.029785,0,Holding,0.0,0.0,0.0,-23.550293000000238,-23.550293000000238,2,0.0,-0.5010082289677831,-0.5010082289677831,4700.580078,4677.029785
5,2022-01-10,4655.339844,4673.02002,4582.240234,4670.290039,1,Holding,0.0,0.0,0.0,-30.290038999999524,-30.290038999999524,3,0.0,-0.6443893838074408,-0.6443893838074408,4700.580078,4670.290039
6,2022-01-11,4669.140137,4714.129883,4638.27002,4713.069824,1,Holding,0.0,0.0,0.0,12.489746000000196,12.489746000000196,4,0.0,0.2657064828754992,0.2657064828754992,4700.580078,4713.069824
7,2022-01-12,4728.589844,4748.830078,4706.709961,4726.350098,0,Holding,0.0,0.0,0.0,25.77001999999993,25.77001999999993,5,0.0,0.548230634780815,0.548230634780815,4700.580078,4726.350098
8,2022-01-13,4733.560059,4744.129883,4650.290039,4659.029785,0,sell,-62.589844000000085,-1.3315344693932067,0.0,-41.55029300000024,-41.55029300000024,0,0.0,-0.8839396906451391,-0.8839396906451391,4700.580078,4659.029785
9,2022-01-14,4637.990234,4665.129883,4614.75,4662.850098,0,No action,0.0,0.0,-62.589844000000085,0.0,-62.589844000000085,0,-1.3315344693932067,0.0,-1.3315344693932067,4637.990234,4637.990234
10,2022-01-18,4632.240234,4632.240234,4568.700195,4577.109863,0,No action,0.0,0.0,-62.589844000000085,0.0,-62.589844000000085,0,-1.3315344693932067,0.0,-1.3315344693932067,4637.990234,4637.990234
11,2022-01-19,4588.029785,4611.549805,4530.200195,4532.759766,1,Buy,0.0,0.0,-62.589844000000085,0.0,-62.589844000000085,0,-1.3315344693932067,0.0,-1.3315344693932067,4637.990234,4637.990234
12,2022-01-20,4547.350098,4602.109863,4477.950195,4482.72998,0,Holding,0.0,0.0,-62.589844000000085,-50.02978600000006,-112.61963000000014,1,-1.3315344693932067,-1.064332171132519,-2.3958666405257256,4637.990234,4587.960448
