,Date,Open,High,Low,Close,Predicted_results_60,action_60,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit
0,2022-01-04,1041.069946,1041.290039,1025.22998,1031.660034,1,Buy,0.0,0.0,0.0
1,2022-01-05,1029.119995,1029.119995,1007.840027,1009.619995,1,Holding,0.0,0.0,0.0
2,2022-01-06,993.599976,1003.01001,979.830017,980.299988,1,Holding,0.0,0.0,0.0
3,2022-01-07,986.179993,997.02002,986.179993,995.159973,1,Holding,0.0,0.0,0.0
4,2022-01-10,992.48999,992.48999,976.409973,980.380005,1,Holding,0.0,0.0,0.0
5,2022-01-11,982.440002,985.130005,962.909973,969.919983,1,Holding,0.0,0.0,0.0
6,2022-01-12,978.690002,991.710022,978.690002,991.330017,1,Holding,0.0,0.0,0.0
7,2022-01-13,994.549988,994.549988,981.309998,983.25,1,Holding,0.0,0.0,0.0
8,2022-01-14,971.109985,977.690002,967.190002,971.390015,1,Holding,0.0,0.0,0.0
9,2022-01-17,971.809998,971.809998,954.820007,957.900024,0,Holding,0.0,0.0,0.0
10,2022-01-18,959.97998,969.169983,942.109985,943.940002,1,Holding,0.0,0.0,0.0
11,2022-01-19,935.059998,944.809998,929.150024,933.900024,1,Holding,0.0,0.0,0.0
12,2022-01-20,934.0,958.700012,933.969971,958.700012,1,Holding,0.0,0.0,0.0
13,2022-01-21,950.669983,958.380005,937.47998,942.849976,0,Holding,0.0,0.0,0.0
14,2022-01-24,915.400024,915.400024,915.400024,915.400024,0,sell,-110.71002199999998,-10.731250446016597,-110.71002199999998
15,2022-01-25,920.950012,923.070007,883.169983,889.440002,0,No action,0.0,0.0,-110.71002199999998
16,2022-01-26,892.01001,900.380005,881.679993,882.090027,1,Buy,0.0,0.0,-110.71002199999998
17,2022-01-27,884.22998,885.0,847.340027,849.22998,1,Holding,0.0,0.0,-110.71002199999998
18,2022-01-28,852.570007,872.869995,835.549988,872.869995,1,Holding,0.0,0.0,-110.71002199999998
19,2022-02-03,887.849976,898.369995,887.02002,891.599976,0,Holding,0.0,0.0,-110.71002199999998
20,2022-02-04,888.51001,902.869995,886.929993,902.869995,1,Holding,0.0,0.0,-110.71002199999998
21,2022-02-07,905.960022,905.960022,893.909973,899.400024,1,Holding,0.0,0.0,-110.71002199999998
22,2022-02-08,900.700012,907.23999,887.539978,895.27002,1,Holding,0.0,0.0,-110.71002199999998
23,2022-02-09,904.070007,910.530029,900.859985,910.530029,0,Holding,0.0,0.0,-110.71002199999998
24,2022-02-10,914.650024,914.919983,893.210022,895.679993,1,Holding,0.0,0.0,-110.71002199999998
25,2022-02-11,885.309998,889.419983,877.280029,877.419983,1,Holding,0.0,0.0,-110.71002199999998
26,2022-02-14,864.48999,867.23999,850.280029,852.789978,1,Holding,0.0,0.0,-110.71002199999998
27,2022-02-15,855.619995,860.400024,837.830017,839.919983,0,Holding,0.0,0.0,-110.71002199999998
28,2022-02-16,857.539978,878.150024,857.539978,878.150024,0,sell,-2.9700319999999465,-0.3367039541418539,-113.68005399999993
29,2022-02-17,879.119995,890.780029,858.780029,874.219971,0,No action,0.0,0.0,-113.68005399999993
30,2022-02-18,862.190002,882.01001,860.809998,881.710022,1,Buy,0.0,0.0,-113.68005399999993
31,2022-02-21,871.22998,884.26001,865.580017,884.25,1,Holding,0.0,0.0,-113.68005399999993
32,2022-02-22,869.080017,878.330017,865.22998,868.109985,0,Holding,0.0,0.0,-113.68005399999993
33,2022-02-23,873.320007,879.97998,870.25,877.330017,1,Holding,0.0,0.0,-113.68005399999993
34,2022-02-24,869.23999,870.580017,847.859985,848.210022,1,Holding,0.0,0.0,-113.68005399999993
35,2022-02-25,864.719971,872.97998,863.469971,872.97998,1,Holding,0.0,0.0,-113.68005399999993
36,2022-02-28,870.27002,881.070007,868.909973,881.070007,1,Holding,0.0,0.0,-113.68005399999993
37,2022-03-02,880.619995,896.799988,879.030029,895.450012,1,Holding,0.0,0.0,-113.68005399999993
38,2022-03-03,901.280029,912.349976,899.849976,912.320007,1,Holding,0.0,0.0,-113.68005399999993
39,2022-03-04,908.469971,909.23999,896.840027,900.960022,1,Holding,0.0,0.0,-113.68005399999993
40,2022-03-07,889.950012,889.950012,878.450012,881.539978,0,Holding,0.0,0.0,-113.68005399999993
41,2022-03-08,869.049988,881.299988,864.690002,870.140015,1,Holding,0.0,0.0,-113.68005399999993
42,2022-03-10,885.049988,892.549988,884.97998,889.080017,1,Holding,0.0,0.0,-113.68005399999993
43,2022-03-11,888.570007,894.98999,887.280029,891.710022,0,Holding,0.0,0.0,-113.68005399999993
44,2022-03-14,893.179993,893.179993,870.809998,872.440002,0,sell,-11.380004999999983,-1.2906743391876727,-125.06005899999991
45,2022-03-15,870.330017,874.72998,866.469971,871.219971,1,Buy,0.0,0.0,-125.06005899999991
46,2022-03-16,881.890015,891.799988,879.679993,891.799988,1,Holding,0.0,0.0,-125.06005899999991
47,2022-03-17,903.75,916.219971,903.75,914.130005,1,Holding,0.0,0.0,-125.06005899999991
48,2022-03-18,915.289978,922.98999,912.0,922.960022,1,Holding,0.0,0.0,-125.06005899999991
49,2022-03-21,926.859985,926.859985,917.929993,918.400024,1,Holding,0.0,0.0,-125.06005899999991
50,2022-03-22,916.700012,924.719971,914.330017,924.669983,0,Holding,0.0,0.0,-125.06005899999991
51,2022-03-23,929.349976,933.27002,927.02002,930.570007,0,sell,55.07000700000003,6.3210221107293725,-69.99005199999988
52,2022-03-24,926.289978,931.869995,920.690002,931.75,1,Buy,0.0,0.0,-69.99005199999988
53,2022-03-25,936.940002,937.690002,933.090027,934.690002,1,Holding,0.0,0.0,-69.99005199999988
54,2022-03-28,934.179993,934.179993,926.549988,927.109985,0,Holding,0.0,0.0,-69.99005199999988
55,2022-03-29,932.859985,937.830017,930.340027,937.830017,1,Holding,0.0,0.0,-69.99005199999988
56,2022-03-30,942.080017,943.299988,936.909973,939.070007,0,Holding,0.0,0.0,-69.99005199999988
57,2022-03-31,936.659973,944.919983,936.200012,944.530029,0,sell,8.739990000000034,0.9380187818620912,-61.25006199999984
58,2022-04-01,940.48999,942.219971,936.859985,940.570007,1,Buy,0.0,0.0,-61.25006199999984
59,2022-04-04,940.469971,947.330017,938.450012,947.320007,0,Holding,0.0,0.0,-61.25006199999984
60,2022-04-05,950.890015,953.059998,949.460022,952.469971,0,sell,3.7000130000000127,0.3933798624731197,-57.55004899999983
61,2022-04-06,944.27002,947.409973,939.820007,943.130005,0,No action,0.0,0.0,-57.55004899999983
62,2022-04-07,936.919983,936.919983,925.909973,927.950012,0,No action,0.0,0.0,-57.55004899999983
63,2022-04-08,931.97998,935.679993,924.72998,934.72998,1,Buy,0.0,0.0,-57.55004899999983
64,2022-04-11,932.47998,934.609985,920.75,921.830017,1,Holding,0.0,0.0,-57.55004899999983
65,2022-04-12,914.280029,916.76001,905.179993,913.820007,1,Holding,0.0,0.0,-57.55004899999983
66,2022-04-13,915.890015,927.330017,913.919983,927.309998,1,Holding,0.0,0.0,-57.55004899999983
67,2022-04-14,930.690002,931.809998,925.609985,928.01001,1,Holding,0.0,0.0,-57.55004899999983
68,2022-04-15,921.530029,925.130005,916.909973,924.440002,1,Holding,0.0,0.0,-57.55004899999983
69,2022-04-18,921.690002,923.51001,917.530029,918.22998,0,Holding,0.0,0.0,-57.55004899999983
70,2022-04-19,922.599976,931.559998,922.599976,931.559998,0,sell,-1.4400019999999358,-0.1540553989720043,-58.99005099999977
71,2022-04-20,933.289978,933.369995,927.289978,928.929993,0,No action,0.0,0.0,-58.99005099999977
72,2022-04-21,930.450012,934.26001,929.539978,929.679993,1,Buy,0.0,0.0,-58.99005099999977
73,2022-04-22,922.77002,924.159973,916.650024,922.780029,1,Holding,0.0,0.0,-58.99005099999977
74,2022-04-25,909.530029,911.530029,899.830017,899.840027,1,Holding,0.0,0.0,-58.99005099999977
75,2022-04-26,906.590027,913.289978,906.590027,911.159973,1,Holding,0.0,0.0,-58.99005099999977
76,2022-04-27,898.02002,898.02002,888.969971,896.179993,1,Holding,0.0,0.0,-58.99005099999977
77,2022-04-28,900.429993,902.02002,889.299988,892.219971,1,Holding,0.0,0.0,-58.99005099999977
78,2022-04-29,895.640015,904.76001,894.619995,904.75,0,Holding,0.0,0.0,-58.99005099999977
79,2022-05-02,894.030029,903.26001,892.539978,901.820007,1,Holding,0.0,0.0,-58.99005099999977
80,2022-05-03,905.049988,912.669983,905.049988,907.570007,0,Holding,0.0,0.0,-58.99005099999977
81,2022-05-04,911.159973,911.969971,899.340027,900.059998,0,sell,-41.14001499999995,-4.425180202839963,-100.13006599999972
82,2022-05-06,888.539978,892.429993,883.309998,884.219971,1,Buy,0.0,0.0,-100.13006599999972
83,2022-05-10,848.080017,858.429993,831.590027,856.140015,1,Holding,0.0,0.0,-100.13006599999972
84,2022-05-11,853.72998,866.809998,852.22998,866.340027,1,Holding,0.0,0.0,-100.13006599999972
85,2022-05-12,855.460022,857.75,833.23999,833.659973,1,Holding,0.0,0.0,-100.13006599999972
86,2022-05-13,839.52002,853.340027,839.52002,853.080017,0,Holding,0.0,0.0,-100.13006599999972
87,2022-05-16,862.23999,866.469971,855.450012,856.25,0,sell,-26.939941999999974,-3.0467466109742474,-127.07000799999969
