,True_Label,Predicted_results,action
0,0,1,Buy
1,0,1,Holding
2,0,0,Holding
3,0,1,Holding
4,1,1,Holding
5,1,1,Holding
6,1,1,Holding
7,0,0,Holding
8,1,1,Holding
9,0,1,Holding
10,0,1,Holding
11,0,1,Holding
12,0,1,Holding
13,1,1,Holding
14,0,1,Holding
15,1,1,Holding
16,0,1,Holding
17,1,1,Holding
18,1,1,Holding
19,1,1,Holding
20,1,1,Holding
21,0,1,Holding
22,1,1,Holding
23,0,1,Holding
24,1,1,Holding
25,1,1,Holding
26,0,1,Holding
27,0,1,Holding
28,0,1,Holding
29,1,1,Holding
30,0,1,Holding
31,0,1,Holding
32,0,1,Holding
33,0,1,Holding
34,0,1,Holding
35,1,1,Holding
36,1,1,Holding
37,1,1,Holding
38,0,1,Holding
39,1,1,Holding
40,0,1,Holding
41,0,1,Holding
42,0,1,Holding
43,0,1,Holding
44,1,1,Holding
45,0,1,Holding
46,0,1,Holding
47,0,1,Holding
48,1,1,Holding
49,1,1,Holding
50,1,1,Holding
51,1,1,Holding
52,0,1,Holding
53,1,1,Holding
54,0,1,Holding
55,1,1,Holding
56,0,0,Holding
57,1,0,sell
58,1,1,Buy
59,0,1,Holding
60,0,0,Holding
61,1,1,Holding
62,1,1,Holding
63,0,0,Holding
64,0,0,sell
65,1,1,Buy
66,0,1,Holding
67,0,1,Holding
68,0,1,Holding
69,1,1,Holding
70,0,1,Holding
71,0,1,Holding
72,1,1,Holding
73,0,1,Holding
74,0,1,Holding
75,0,1,Holding
76,1,1,Holding
77,0,1,Holding
78,0,1,Holding
79,1,1,Holding
80,0,1,Holding
81,1,1,Holding
82,1,1,Holding
83,1,1,Holding
84,0,1,Holding
85,0,1,Holding
86,0,1,Holding
87,1,1,Holding
88,0,1,Holding
89,1,1,Holding
90,1,1,Holding
91,0,1,Holding
92,1,1,Holding
93,0,1,Holding
94,0,1,Holding
95,0,1,Holding
96,1,1,Holding
97,0,1,Holding
98,1,1,Holding
99,1,1,Holding
100,1,1,Holding
101,0,1,Holding
102,0,1,Holding
103,1,1,Holding
104,0,1,Holding
105,1,1,Holding
106,1,1,Holding
107,0,0,Holding
108,0,1,Holding
109,0,0,Holding
110,0,1,Holding
111,1,1,Holding
112,1,1,Holding
113,0,1,Holding
114,1,1,Holding
115,1,1,Holding
116,0,1,Holding
117,1,1,Holding
118,1,1,Holding
119,0,1,Holding
120,0,1,Holding
121,0,1,Holding
122,0,1,Holding
123,1,1,Holding
124,1,1,Holding
125,1,1,Holding
126,1,0,Holding
127,1,0,sell
128,0,0,No action
129,0,1,Buy
130,0,1,Holding
131,1,1,Holding
132,1,1,Holding
133,0,0,Holding
134,1,0,sell
135,1,1,Buy
136,1,1,Holding
137,0,1,Holding
138,0,1,Holding
139,0,0,Holding
140,1,1,Holding
141,1,1,Holding
142,1,1,Holding
143,0,1,Holding
144,0,1,Holding
145,1,1,Holding
146,1,1,Holding
147,0,1,Holding
148,0,1,Holding
149,0,1,Holding
150,1,1,Holding
151,0,0,Holding
152,1,1,Holding
153,1,1,Holding
154,0,1,Holding
155,0,0,Holding
156,1,1,Holding
157,0,1,Holding
158,0,1,Holding
159,0,0,Holding
160,1,1,Holding
161,1,1,Holding
162,0,1,Holding
163,0,1,Holding
164,0,1,Holding
165,0,0,Holding
166,0,1,Holding
167,0,1,Holding
168,0,1,Holding
169,1,1,Holding
170,1,1,Holding
171,1,1,Holding
172,1,1,Holding
173,0,1,Holding
174,1,1,Holding
175,0,1,Holding
176,0,1,Holding
177,1,1,Holding
178,0,1,Holding
179,0,1,Holding
180,0,1,Holding
181,0,1,Holding
182,0,1,Holding
183,1,1,Holding
184,1,1,Holding
185,0,1,Holding
186,0,1,Holding
187,1,1,Holding
188,1,1,Holding
189,0,1,Holding
190,0,1,Holding
191,0,1,Holding
192,0,1,Holding
193,0,1,Holding
194,0,1,Holding
195,1,1,Holding
196,0,1,Holding
197,1,1,Holding
198,1,1,Holding
199,0,1,Holding
200,0,1,Holding
201,1,1,Holding
202,1,1,Holding
203,1,1,Holding
204,0,1,Holding
205,0,1,Holding
206,1,1,Holding
207,0,1,Holding
208,0,1,Holding
209,0,0,Holding
210,0,1,Holding
211,1,0,Holding
212,1,1,Holding
213,1,0,Holding
214,0,1,Holding
215,1,0,Holding
216,1,1,Holding
217,0,1,Holding
218,1,1,Holding
219,0,1,Holding
220,0,1,Holding
221,1,1,Holding
222,0,1,Holding
223,1,1,Holding
224,1,1,Holding
225,0,1,Holding
226,0,1,Holding
227,0,1,Holding
228,1,1,Holding
229,1,1,Holding
230,0,1,Holding
231,0,1,Holding
232,0,1,Holding
233,0,1,Holding
234,1,1,Holding
235,0,1,Holding
236,1,1,Holding
237,1,1,Holding
238,0,1,Holding
239,0,1,Holding
240,0,1,Holding
241,0,1,Holding
242,1,1,Holding
243,1,1,Holding
244,0,1,Holding
245,1,1,Holding
246,0,1,Holding
247,0,1,Holding
248,1,1,Holding
249,0,1,Holding
250,0,1,sell
